ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000725.SZ,2025-07-04,4.02,4.03,3.99,4.0,4.02,-0.02,-0.4975,2932952.57,1175987.887
000725.SZ,2025-07-07,3.99,4.0,3.95,3.96,4.0,-0.04,-1.0,2719031.4,1077579.422
000725.SZ,2025-07-08,3.96,4.0,3.95,4.0,3.96,0.04,1.0101,2492129.2,991418.088
000725.SZ,2025-07-09,3.99,4.02,3.97,3.98,4.0,-0.02,-0.5,3174590.01,1268919.001
000725.SZ,2025-07-10,3.98,4.06,3.98,4.03,3.98,0.05,1.2563,5355399.39,2154838.766
000725.SZ,2025-07-11,4.03,4.08,4.0,4.06,4.03,0.03,0.7444,4314365.92,1746749.405
000725.SZ,2025-07-14,4.05,4.07,4.04,4.05,4.06,-0.01,-0.2463,3538385.31,1434451.704
000725.SZ,2025-07-15,4.04,4.04,3.96,3.97,4.05,-0.08,-1.9753,5226585.21,2084419.624
000725.SZ,2025-07-16,3.97,3.98,3.94,3.95,3.97,-0.02,-0.5038,3061837.52,1210681.338
000725.SZ,2025-07-17,3.95,4.04,3.94,4.04,3.95,0.09,2.2785,4621115.65,1847396.37
000725.SZ,2025-07-18,4.04,4.05,3.97,3.99,4.04,-0.05,-1.2376,3517360.4,1405856.607
000725.SZ,2025-07-21,3.99,4.1,3.98,4.07,3.99,0.08,2.005,5404258.05,2184507.259
000725.SZ,2025-07-22,4.06,4.11,4.04,4.11,4.07,0.04,0.9828,4571962.26,1865188.506
000725.SZ,2025-07-23,4.11,4.14,4.09,4.1,4.11,-0.01,-0.2433,4282163.9,1760703.699
000725.SZ,2025-07-24,4.1,4.13,4.1,4.13,4.1,0.03,0.7317,3354030.1,1381532.131
000725.SZ,2025-07-25,4.13,4.13,4.09,4.1,4.13,-0.03,-0.7264,2770988.16,1137738.671
000725.SZ,2025-07-28,4.11,4.11,4.08,4.1,4.1,0.0,0.0,2530670.26,1036910.008
000725.SZ,2025-07-29,4.09,4.12,4.06,4.11,4.1,0.01,0.2439,3425207.84,1398930.974
000725.SZ,2025-07-30,4.1,4.12,4.06,4.08,4.11,-0.03,-0.7299,3178748.94,1301703.987
000725.SZ,2025-07-31,4.08,4.09,4.02,4.04,4.08,-0.04,-0.9804,4340047.68,1759884.631
000725.SZ,2025-08-01,4.03,4.08,4.02,4.03,4.04,-0.01,-0.2475,3357154.26,1359117.265
000725.SZ,2025-08-04,4.03,4.04,3.99,4.02,4.03,-0.01,-0.2481,3102281.77,1244349.28
000725.SZ,2025-08-05,4.02,4.08,4.01,4.04,4.02,0.02,0.4975,3435975.32,1392718.908
000725.SZ,2025-08-06,4.06,4.06,4.03,4.06,4.04,0.02,0.495,2438859.96,986871.824
000725.SZ,2025-08-07,4.06,4.07,4.02,4.03,4.06,-0.03,-0.7389,2904685.93,1173713.991
000725.SZ,2025-08-08,4.03,4.04,4.0,4.0,4.03,-0.03,-0.7444,3141822.36,1262676.148
000725.SZ,2025-08-11,4.01,4.03,3.99,4.01,4.0,0.01,0.25,4151971.92,1663497.13
000725.SZ,2025-08-12,4.01,4.02,3.98,3.99,4.01,-0.02,-0.4988,3821962.05,1525715.004
000725.SZ,2025-08-13,3.99,4.0,3.98,3.98,3.99,-0.01,-0.2506,3870022.32,1543818.007
000725.SZ,2025-08-14,3.98,3.99,3.9,3.9,3.98,-0.08,-2.0101,8580024.04,3381880.946
000725.SZ,2025-08-15,3.89,3.96,3.88,3.96,3.9,0.06,1.5385,5651613.21,2218979.86
000725.SZ,2025-08-18,3.96,3.99,3.94,3.95,3.96,-0.01,-0.2525,6357098.87,2520368.579
000725.SZ,2025-08-19,3.95,3.96,3.92,3.93,3.95,-0.02,-0.5063,4599047.95,1811213.49
000725.SZ,2025-08-20,3.92,4.01,3.9,4.01,3.93,0.08,2.0356,7221610.47,2860961.93
000725.SZ,2025-08-21,4.01,4.08,4.0,4.04,4.01,0.03,0.7481,8066589.14,3257906.887
000725.SZ,2025-08-22,4.04,4.2,4.03,4.18,4.04,0.14,3.4653,12981755.06,5345248.54
000725.SZ,2025-08-25,4.21,4.23,4.11,4.16,4.18,-0.02,-0.4785,9865264.78,4095228.295
000725.SZ,2025-08-26,4.15,4.21,4.13,4.18,4.16,0.02,0.4808,8765130.9,3654376.545
000725.SZ,2025-08-27,4.16,4.27,4.12,4.13,4.18,-0.05,-1.1962,10880526.43,4567482.027
000725.SZ,2025-08-28,4.15,4.21,4.1,4.21,4.13,0.08,1.937,9417531.82,3920003.211
000725.SZ,2025-08-29,4.2,4.26,4.18,4.23,4.21,0.02,0.4751,9459846.72,3992950.843
000725.SZ,2025-09-01,4.24,4.25,4.16,4.2,4.23,-0.03,-0.7092,7212975.16,3021058.143
000725.SZ,2025-09-02,4.19,4.19,4.08,4.11,4.2,-0.09,-2.1429,7708187.62,3183217.11
000725.SZ,2025-09-03,4.12,4.12,4.02,4.04,4.11,-0.07,-1.7032,5745840.94,2334786.394
000725.SZ,2025-09-04,4.05,4.15,4.01,4.05,4.04,0.01,0.2475,9105493.41,3706548.846
000725.SZ,2025-09-05,4.07,4.11,4.03,4.11,4.05,0.06,1.4815,6266116.1,2551594.522
000725.SZ,2025-09-08,4.11,4.17,4.07,4.13,4.11,0.02,0.4866,5714247.58,2351143.587
000725.SZ,2025-09-09,4.12,4.13,4.06,4.1,4.13,-0.03,-0.7264,4612171.73,1887151.035
000725.SZ,2025-09-10,4.1,4.1,4.06,4.08,4.1,-0.02,-0.4878,3644817.35,1487420.804
000725.SZ,2025-09-11,4.08,4.16,4.06,4.16,4.08,0.08,1.9608,7051552.08,2908382.788
000725.SZ,2025-09-12,4.19,4.2,4.15,4.17,4.16,0.01,0.2404,5953652.34,2483992.512
000725.SZ,2025-09-15,4.17,4.25,4.15,4.16,4.17,-0.01,-0.2398,5787836.98,2424286.731
000725.SZ,2025-09-16,4.17,4.18,4.1,4.13,4.16,-0.03,-0.7212,5098731.45,2103302.503
000725.SZ,2025-09-17,4.13,4.18,4.1,4.16,4.13,0.03,0.7264,5275441.19,2189133.373
000725.SZ,2025-09-18,4.16,4.22,4.1,4.14,4.16,-0.02,-0.4808,8427305.92,3514369.252
000725.SZ,2025-09-19,4.12,4.18,4.12,4.13,4.14,-0.01,-0.2415,5535342.22,2299804.727
000725.SZ,2025-09-22,4.13,4.18,4.08,4.14,4.13,0.01,0.2421,5037545.98,2079566.768
000725.SZ,2025-09-23,4.15,4.18,4.05,4.16,4.14,0.02,0.4831,7129824.87,2932731.471
000725.SZ,2025-09-24,4.14,4.22,4.11,4.21,4.16,0.05,1.2019,9485993.11,3974622.845
000725.SZ,2025-09-25,4.2,4.21,4.15,4.17,4.21,-0.04,-0.9501,6549625.42,2735280.005
000725.SZ,2025-09-26,4.16,4.17,4.1,4.1,4.17,-0.07,-1.6787,7091057.95,2923583.292
000725.SZ,2025-09-29,4.1,4.13,4.04,4.12,4.1,0.02,0.4878,7313187.76,2984613.077
000725.SZ,2025-09-30,4.11,4.17,4.11,4.16,4.12,0.04,0.9709,6941579.65,2880953.71
000725.SZ,2025-10-09,4.17,4.34,4.17,4.28,4.16,0.12,2.8846,11954060.82,5103439.303
000725.SZ,2025-10-10,4.26,4.27,4.16,4.17,4.28,-0.11,-2.5701,8704489.13,3654399.538
000725.SZ,2025-10-13,4.08,4.12,4.04,4.11,4.17,-0.06,-1.4388,10634842.68,4329024.308
000725.SZ,2025-10-14,4.12,4.15,4.05,4.06,4.11,-0.05,-1.2165,8429044.61,3454369.141
000725.SZ,2025-10-15,4.07,4.12,4.05,4.1,4.06,0.04,0.9852,5682302.58,2321083.018
000725.SZ,2025-10-16,4.1,4.11,4.06,4.08,4.1,-0.02,-0.4878,4037342.72,1648298.521
000725.SZ,2025-10-17,4.07,4.09,4.0,4.0,4.08,-0.08,-1.9608,6538105.72,2638604.172
000725.SZ,2025-10-20,4.03,4.04,3.99,4.0,4.0,0.0,0.0,4153328.58,1665718.366
000725.SZ,2025-10-21,4.01,4.04,4.0,4.02,4.0,0.02,0.5,3495761.08,1407596.04
000725.SZ,2025-10-22,4.02,4.04,4.01,4.02,4.02,0.0,0.0,2414810.62,972181.787
